Gene,TotalEvidenceCounts,EvidenceHit:MyList,EvidenceGO:MyList,EvidencePPI:MyList
12322,3.0,1,1,1
11771,3.0,1,1,1
108664,3.0,1,1,1
22348,3.0,1,1,1
13424,3.0,1,1,1
72961,3.0,1,1,1
11772,3.0,1,1,1
15275,3.0,1,1,1
22334,3.0,1,1,1
22240,3.0,1,1,1
18823,3.0,1,1,1
11964,3.0,1,1,1
14683,3.0,1,1,1
15525,3.0,1,1,1
17754,3.0,1,1,1
20910,3.0,1,1,1
11938,3.0,1,1,1
234267,3.0,1,1,1
14687,3.0,1,1,1
56421,3.0,1,1,1
20614,3.0,1,1,1
14674,3.0,1,1,1
22152,3.0,1,1,1
12799,3.0,1,1,1
19349,3.0,1,1,1
98660,3.0,1,1,1
18597,3.0,1,1,1
11429,3.0,1,1,1
18293,3.0,1,1,1
68585,3.0,1,1,1
14672,3.0,1,1,1
65254,3.0,1,1,1
13385,3.0,1,1,1
15519,3.0,1,1,1
18195,3.0,1,1,1
15461,3.0,1,1,1
104015,3.0,1,1,1
14682,3.0,1,1,1
12323,3.0,1,1,1
26562,3.0,1,1,1
21960,2.0,1,1,0
269060,2.0,1,0,1
22201,2.0,1,0,1
50997,2.0,1,0,1
110446,2.0,1,1,0
20168,2.0,1,0,1
235380,2.0,1,0,1
109676,2.0,1,1,0
13629,2.0,1,0,1
235072,2.0,1,1,0
14432,2.0,1,1,0
14251,2.0,1,1,0
18163,2.0,1,1,0
110078,1.0,1,0,0
668212,1.0,1,0,0
235604,1.0,1,0,0
18674,1.0,1,0,0
12337,1.0,1,0,0
12709,1.0,1,0,0
100434,1.0,1,0,0
