_MEMBER_MyList,_LogP_MyList,GO,_PATTERN_,_RANK_,GiniIndex,Category,CategoryID,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value),EvidenceCutoff,GROUP_ID,FirstInGroupByEnrichment,FirstInGroupByLogP,BestLogPInGroup,BestEnrichmentInGroup,URL
1,-12.055879261944902,mmu04721,M1,1,0,KEGG Pathway,24,Synaptic vesicle cycle - Mus musculus (house mouse),,-12.055879261944902,41.22077922077922,18.85435175537427,21160,77,60,9,15.0,4.6097722286464435,11771|11772|11964|18195|20614|20910|22348|72961|108664,Ap2a1|Ap2a2|Atp6v1a|Nsf|Snap25|Stxbp1|Slc32a1|Slc17a7|Atp6v1h,-7.79352311034621,0,1,1,1,-12.055879261944902,60.80459770114943,
1,-10.314135313675168,GO:0099504,M1,1,0,GO Biological Processes,19,synaptic vesicle cycle,19_GO:0051179 localization,-10.314135313675168,20.62378167641326,13.739371029624111,21160,171,60,10,16.666666666666668,4.811252243246882,11771|11772|11964|19349|20614|20910|22348|72961|104015|108664,Ap2a1|Ap2a2|Atp6v1a|Rab7|Snap25|Stxbp1|Slc32a1|Slc17a7|Synj1|Atp6v1h,-6.528900416796138,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-9.729891893903911,GO:0099003,M1,1,0,GO Biological Processes,19,vesicle-mediated transport in synapse,19_GO:0051179 localization,-9.729891893903911,17.993197278911566,12.745240246152255,21160,196,60,10,16.666666666666668,4.811252243246882,11771|11772|11964|19349|20614|20910|22348|72961|104015|108664,Ap2a1|Ap2a2|Atp6v1a|Rab7|Snap25|Stxbp1|Slc32a1|Slc17a7|Synj1|Atp6v1h,-6.245686992688863,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-7.758827921274128,GO:0016188,M1,1,0,GO Biological Processes,19,synaptic vesicle maturation,19_GO:0032502 developmental process,-7.758827921274128,60.80459770114943,17.185236533575857,21160,29,60,5,8.333333333333334,3.568120160740314,11964|13385|20910|72961|108664,Atp6v1a|Dlg4|Stxbp1|Slc17a7|Atp6v1h,-4.786442095038915,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-6.7219461471062365,R-MMU-382551,M1,1,0,Reactome Gene Sets,6,Transport of small molecules,,-6.7219461471062365,6.633228840125392,7.704418379247316,21160,638,60,12,20.0,5.163977794943222,11771|11772|11938|11964|12322|12323|14683|22348|72961|98660|100434|108664,Ap2a1|Ap2a2|Atp2a2|Atp6v1a|Camk2a|Camk2b|Gnas|Slc32a1|Slc17a7|Atp1a2|Slc44a1|Atp6v1h,-3.8744622319429736,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-5.695508071230753,GO:0006812,M1,1,0,GO Biological Processes,19,monoatomic cation transport,19_GO:0051179 localization,-5.695508071230753,5.303258145363409,6.608008537524235,21160,798,60,12,20.0,5.163977794943222,11938|11964|12322|12323|18195|18674|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Camk2a|Camk2b|Nsf|Slc25a3|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-3.0459357763517967,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-5.497674776134167,GO:1902600,M1,1,0,GO Biological Processes,19,proton transmembrane transport,19_GO:0051179 localization,-5.497674776134167,14.797202797202797,8.827864758738292,21160,143,60,6,10.0,3.872983346207417,11964|18674|22348|72961|98660|108664,Atp6v1a|Slc25a3|Slc32a1|Slc17a7|Atp1a2|Atp6v1h,-2.8980764562170487,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-5.447417075317153,GO:0070050,M1,1,0,GO Biological Processes,19,neuron cellular homeostasis,19_GO:0042592 homeostatic process,-5.447417075317153,21.50406504065041,9.920056911778289,21160,82,60,5,8.333333333333334,3.568120160740314,11938|11964|17754|72961|108664,Atp2a2|Atp6v1a|Map1a|Slc17a7|Atp6v1h,-2.8752570037469747,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-4.6220708875968555,GO:0097401,M1,1,0,GO Biological Processes,19,synaptic vesicle lumen acidification,19_GO:0042592 homeostatic process,-4.6220708875968555,52.9,12.382599630906975,21160,20,60,3,5.0,2.8136571693556887,11964|72961|108664,Atp6v1a|Slc17a7|Atp6v1h,-2.268199754876813,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-4.299598458882444,GO:0016050,M1,1,0,GO Biological Processes,19,vesicle organization,19_GO:0009987 cellular process,-4.299598458882444,7.218323586744639,6.182282348952098,21160,342,60,7,11.666666666666666,4.144384867012947,11964|13385|19349|20614|20910|72961|108664,Atp6v1a|Dlg4|Rab7|Snap25|Stxbp1|Slc17a7|Atp6v1h,-2.0240140415499965,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-4.170145252053658,GO:0034220,M1,1,0,GO Biological Processes,19,monoatomic ion transmembrane transport,19_GO:0051179 localization,-4.170145252053658,4.475465313028765,5.302018029266283,21160,788,60,10,16.666666666666668,4.811252243246882,11938|11964|18674|20614|22334|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Slc25a3|Snap25|Vdac2|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-1.9398727839241015,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-4.168805180035844,GO:0098662,M1,1,0,GO Biological Processes,19,inorganic cation transmembrane transport,19_GO:0051179 localization,-4.168805180035844,5.022151898734177,5.474262949614613,21160,632,60,9,15.0,4.6097722286464435,11938|11964|18674|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Slc25a3|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-1.9398727839241015,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-4.116595595146833,GO:0098655,M1,1,0,GO Biological Processes,19,monoatomic cation transmembrane transport,19_GO:0051179 localization,-4.116595595146833,4.94392523364486,5.411412511143083,21160,642,60,9,15.0,4.6097722286464435,11938|11964|18674|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Slc25a3|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-1.8956321287063664,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-3.7044316967073674,GO:0098660,M1,1,0,GO Biological Processes,19,inorganic ion transmembrane transport,19_GO:0051179 localization,-3.7044316967073674,4.3598901098901095,4.91945837139688,21160,728,60,9,15.0,4.6097722286464435,11938|11964|18674|20614|22348|72961|98660|108664|234267,Atp2a2|Atp6v1a|Slc25a3|Snap25|Slc32a1|Slc17a7|Atp1a2|Atp6v1h|Gpm6a,-1.6067026948308702,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-3.3409565400942376,GO:0021700,M1,1,0,GO Biological Processes,19,developmental maturation,19_GO:0032502 developmental process,-3.3409565400942376,6.063037249283668,5.085800594609716,21160,349,60,6,10.0,3.872983346207417,11964|13385|14682|20910|72961|108664,Atp6v1a|Dlg4|Gnaq|Stxbp1|Slc17a7|Atp6v1h,-1.3664021184257715,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-3.2709409313177673,GO:0030001,M1,1,0,GO Biological Processes,19,metal ion transport,19_GO:0051179 localization,-3.2709409313177673,4.261832829808661,4.546915848872908,21160,662,60,8,13.333333333333334,4.388537257362556,11938|12322|12323|18195|20614|72961|98660|234267,Atp2a2|Camk2a|Camk2b|Nsf|Snap25|Slc17a7|Atp1a2|Gpm6a,-1.3096147753830565,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-2.7510828017646283,GO:0006813,M1,1,0,GO Biological Processes,19,potassium ion transport,19_GO:0051179 localization,-2.7510828017646283,7.750915750915751,4.877511572196946,21160,182,60,4,6.666666666666667,3.220305943597653,18195|20614|72961|98660,Nsf|Snap25|Slc17a7|Atp1a2,-0.9526196391518436,0,1,0,0,-12.055879261944902,60.80459770114943,
1,-10.330382760283692,GO:0048858,M1,1,0,GO Biological Processes,19,cell projection morphogenesis,19_GO:0032502 developmental process,-10.330382760283692,9.2,10.630515030981787,21160,575,60,15,25.0,5.5901699437494745,12322|12323|12799|13385|14251|14432|17754|18163|20614|20910|21960|22152|65254|234267|235072,Camk2a|Camk2b|Cnp|Dlg4|Flot1|Gap43|Map1a|Ctnnd2|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Gpm6a|Septin7,-6.528900416796138,0,2,1,1,-10.330382760283692,9.2,
1,-9.409315316276212,GO:0048812,M1,1,0,GO Biological Processes,19,neuron projection morphogenesis,19_GO:0032502 developmental process,-9.409315316276212,8.832438878950507,10.007848774078557,21160,559,60,14,23.333333333333332,5.4602943890247175,12322|12799|13385|14251|14432|17754|18163|20614|20910|21960|22152|65254|234267|235072,Camk2a|Cnp|Dlg4|Flot1|Gap43|Map1a|Ctnnd2|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Gpm6a|Septin7,-5.992057204691776,0,2,0,0,-10.330382760283692,9.2,
1,-9.349037049068668,GO:0120039,M1,1,0,GO Biological Processes,19,plasma membrane bounded cell projection morphogenesis,19_GO:0032502 developmental process,-9.349037049068668,8.738643067846606,9.942374291365553,21160,565,60,14,23.333333333333332,5.4602943890247175,12322|12799|13385|14251|14432|17754|18163|20614|20910|21960|22152|65254|234267|235072,Camk2a|Cnp|Dlg4|Flot1|Gap43|Map1a|Ctnnd2|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Gpm6a|Septin7,-5.98977088446192,0,2,0,0,-10.330382760283692,9.2,
1,-8.845335853910322,GO:0048667,M1,1,0,GO Biological Processes,19,cell morphogenesis involved in neuron differentiation,19_GO:0032502 developmental process,-8.845335853910322,9.007203667321546,9.751045654109038,21160,509,60,13,21.666666666666668,5.31855591650939,12322|12799|13385|14251|14432|17754|18163|20614|20910|21960|22152|65254|235072,Camk2a|Cnp|Dlg4|Flot1|Gap43|Map1a|Ctnnd2|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Septin7,-5.537222211750955,0,2,0,0,-10.330382760283692,9.2,
1,-8.216729236384081,GO:0061564,M1,1,0,GO Biological Processes,19,axon development,19_GO:0032502 developmental process,-8.216729236384081,9.081545064377682,9.40691244380607,21160,466,60,12,20.0,5.163977794943222,12799|14251|14432|17754|18823|20614|20910|21960|22152|65254|68585|235072,Cnp|Flot1|Gap43|Map1a|Plp1|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Rtn4|Septin7,-5.100501120463627,0,2,0,0,-10.330382760283692,9.2,
1,-6.721845035570848,GO:0007409,M1,1,0,GO Biological Processes,19,axonogenesis,19_GO:0032502 developmental process,-6.721845035570848,8.707818930041153,8.351790915225457,21160,405,60,10,16.666666666666668,4.811252243246882,12799|14251|14432|17754|20614|20910|21960|22152|65254|235072,Cnp|Flot1|Gap43|Map1a|Snap25|Stxbp1|Tnr|Tubb3|Dpysl5|Septin7,-3.8744622319429736,0,2,0,0,-10.330382760283692,9.2,
1,-2.2575435039615535,GO:0007411,M1,1,0,GO Biological Processes,19,axon guidance,19_GO:0032502 developmental process,-2.2575435039615535,5.642666666666667,3.9376984813163722,21160,250,60,4,6.666666666666667,3.220305943597653,14251|14432|22152|65254,Flot1|Gap43|Tubb3|Dpysl5,-0.557480216819336,0,2,0,0,-10.330382760283692,9.2,
