Name,Category,CategoryID,GO,Description,PARENT_GO,LogP,Enrichment,Z-score,#TotalGeneInLibrary,#GeneInGO,#GeneInHitList,#GeneInGOAndHitList,%InGO,STDV %InGO,GeneID,Hits,Log(q-value)
MyList,KEGG Pathway,24,mmu04721,Synaptic vesicle cycle - Mus musculus (house mouse),,-13,54,22,21160,77,46,9,20,5.8,11771|11772|11964|18195|20614|20910|22348|72961|108664,Ap2a1|Ap2a2|Atp6v1a|Nsf|Snap25|Stxbp1|Slc32a1|Slc17a7|Atp6v1h,-9.7
MyList,GO Biological Processes,19,GO:0099504,synaptic vesicle cycle,19_GO:0051179 localization,-12,27,16,21160,171,46,10,22,6.1,11771|11772|11964|19349|20614|20910|22348|72961|104015|108664,Ap2a1|Ap2a2|Atp6v1a|Rab7|Snap25|Stxbp1|Slc32a1|Slc17a7|Synj1|Atp6v1h,-8.1
MyList,GO Biological Processes,19,GO:0099003,vesicle-mediated transport in synapse,19_GO:0051179 localization,-11,23,15,21160,196,46,10,22,6.1,11771|11772|11964|19349|20614|20910|22348|72961|104015|108664,Ap2a1|Ap2a2|Atp6v1a|Rab7|Snap25|Stxbp1|Slc32a1|Slc17a7|Synj1|Atp6v1h,-7.7
MyList,Reactome Gene Sets,6,R-MMU-399719,Trafficking of AMPA receptors,,-11,1e+02,25,21160,27,46,6,13,5,11771|11772|12322|12323|13385|18195,Ap2a1|Ap2a2|Camk2a|Camk2b|Dlg4|Nsf,-7.5
MyList,Reactome Gene Sets,6,R-MMU-399721,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",,-11,1e+02,25,21160,27,46,6,13,5,11771|11772|12322|12323|13385|18195,Ap2a1|Ap2a2|Camk2a|Camk2b|Dlg4|Nsf,-7.5
MyList,Reactome Gene Sets,6,R-MMU-112315,Transmission across Chemical Synapses,,-9.5,21,13,21160,196,46,9,20,5.8,11771|11772|12322|12323|13385|18195|20910|22348|72961,Ap2a1|Ap2a2|Camk2a|Camk2b|Dlg4|Nsf|Stxbp1|Slc32a1|Slc17a7,-6.6
MyList,KEGG Pathway,24,mmu04911,Insulin secretion - Mus musculus (house mouse),,-9.2,37,16,21160,86,46,7,15,5.3,12322|12323|14672|14682|14683|20614|98660,Camk2a|Camk2b|Gna11|Gnaq|Gnas|Snap25|Atp1a2,-6.3
MyList,Reactome Gene Sets,6,R-MMU-112316,Neuronal System,,-8.9,15,11,21160,314,46,10,22,6.1,11771|11772|12322|12323|13385|18195|20168|20910|22348|72961,Ap2a1|Ap2a2|Camk2a|Camk2b|Dlg4|Nsf|Rtn3|Stxbp1|Slc32a1|Slc17a7,-6.1
MyList,KEGG Pathway,24,mmu04925,Aldosterone synthesis and secretion - Mus musculus (house mouse),,-8.6,31,14,21160,103,46,7,15,5.3,12322|12323|14672|14682|14683|98660|269060,Camk2a|Camk2b|Gna11|Gnaq|Gnas|Atp1a2|Dagla,-5.8
MyList,KEGG Pathway,24,mmu04730,Long-term depression - Mus musculus (house mouse),,-8.5,46,16,21160,60,46,6,13,5,14672|14674|14682|14683|14687|15461,Gna11|Gna13|Gnaq|Gnas|Gnaz|Hras,-5.7
MyList,GO Biological Processes,19,GO:0016188,synaptic vesicle maturation,19_GO:0032502 developmental process,-8.4,79,20,21160,29,46,5,11,4.6,11964|13385|20910|72961|108664,Atp6v1a|Dlg4|Stxbp1|Slc17a7|Atp6v1h,-5.6
MyList,WikiPathways,27,WP553,Calcium regulation in cardiac cells,,-7.6,22,12,21160,145,46,7,15,5.3,11938|12322|12323|14672|14682|14683|14687,Atp2a2|Camk2a|Camk2b|Gna11|Gnaq|Gnas|Gnaz,-5
MyList,WikiPathways,27,WP232,G protein signaling pathways,,-7.4,31,13,21160,90,46,6,13,5,14672|14674|14682|14683|14687|15461,Gna11|Gna13|Gnaq|Gnas|Gnaz|Hras,-4.8
MyList,KEGG Pathway,24,mmu04912,GnRH signaling pathway - Mus musculus (house mouse),,-7.4,31,13,21160,90,46,6,13,5,12322|12323|14672|14682|14683|15461,Camk2a|Camk2b|Gna11|Gnaq|Gnas|Hras,-4.8
MyList,GO Biological Processes,19,GO:0099536,synaptic signaling,19_GO:0050789 regulation of biological process,-7.4,10,9.1,21160,461,46,10,22,6.1,13385|14672|14682|20614|20910|50997|72961|104015|235380|269060,Dlg4|Gna11|Gnaq|Snap25|Stxbp1|Mpp2|Slc17a7|Synj1|Dmxl2|Dagla,-4.8
MyList,GO Biological Processes,19,GO:1990806,ligand-gated ion channel signaling pathway,19_GO:0050896 response to stimulus,-7.4,51,16,21160,45,46,5,11,4.6,12322|13385|14672|14682|18823,Camk2a|Dlg4|Gna11|Gnaq|Plp1,-4.8
